object_id,sersic_sersic_vis_radius,sersic_sersic_vis_radius_err,sersic_sersic_vis_axis_ratio,sersic_sersic_vis_axis_ratio_err,sersic_sersic_vis_index,sersic_sersic_vis_index_err
-861500586086506051,0.22152459621429443,NaN,0.6045125722885132,1.7979398307943484E-6,1.0,NaN
-861499903086834926,0.6502988934516907,NaN,0.8243057131767273,NaN,1.0,NaN
-861499608086963650,0.3011261224746704,1.7169458416743186E-28,0.8094732165336609,NaN,1.0,NaN
-861498710087001011,0.42171332240104675,3.545829312462549E-26,0.4817814528942108,1.3338598397327891E-15,1.0021860599517822,NaN
-861498580086168523,0.2822847366333008,1.881202532914554E-22,0.7899015545845032,NaN,1.0,2.1071628886204508E-9
-861498528086750662,1.1312453746795654,NaN,0.35067039728164673,NaN,1.0,5.928864170445802E-13
-861498120086524976,0.41576361656188965,1.4042574603597452E-25,0.4859200119972229,NaN,1.0,4.545629755307694E-14
-861498104086447938,0.49403849244117737,NaN,0.8964094519615173,NaN,1.0,NaN
-861497918086491978,0.35363298654556274,5.406731333985899E-20,0.8926053047180176,NaN,1.0,NaN
-861497904086615458,0.43716415762901306,1.6721378534577028E-20,0.5159519910812378,NaN,1.0,2.037091562101523E-8
-861497797087023284,0.38578301668167114,NaN,0.5025858879089355,NaN,1.0,1.1790179818099667E-15
-861497792086064105,0.5843507647514343,2.1199137992094772E-23,0.6063902378082275,NaN,1.0,NaN
-861496801086942984,0.28407564759254456,NaN,0.461317777633667,NaN,1.0,NaN
-861496470086540666,0.715590238571167,NaN,0.7686092853546143,NaN,1.0,8.765424497347851E-11
-861495742087000430,0.227457195520401,1.0676145357305783E-26,0.6278152465820312,5.3208500634476484E-15,1.0,NaN
-861495539086777398,0.48448190093040466,7.599376949977856E-21,0.9017157554626465,NaN,1.0,3.965436486119689E-12
-861495371086195233,0.2957810163497925,NaN,0.6847398281097412,NaN,1.0,NaN
-861495229086741196,0.19000835716724396,1.5754877442415342E-19,0.8309457302093506,NaN,1.0,9.717290959088132E-5
-861495143086604766,0.6908395886421204,3.8196692362455705E-23,0.7639527320861816,NaN,1.0,3.3113648541943652E-12
-861494963086815146,0.2884208858013153,NaN,0.9955867528915405,NaN,1.0,1.2725240305933028E-10
-861494852086616063,0.2785724997520447,NaN,0.6706066131591797,NaN,1.0,1.0259486060704148E-7
-861494722086037851,0.3213086724281311,NaN,0.8489242792129517,3.508791781431375E-12,1.0,NaN
-861494357086848396,0.5156883597373962,5.097213953877879E-27,0.5962307453155518,6.585962406310453E-17,1.0,NaN
-861492444086058976,0.4397923946380615,NaN,0.6737667918205261,NaN,1.0,1.741800453869402E-11
-861492369086756629,0.8321609497070312,5.655908022848848E-22,0.42125898599624634,NaN,1.0,NaN
-861491526086529782,1.1293665170669556,NaN,0.6929050087928772,1.57974422930994E-14,1.0,NaN
-861490585086172545,0.28113001585006714,6.407775213877986E-21,0.8337815403938293,1.9559085796296005E-13,1.0,NaN
-861490181086422546,0.5540724992752075,2.687724198804858E-30,0.5768003463745117,NaN,1.0,4.441402783267204E-18
-861490020086652230,0.3189064860343933,NaN,0.912359356880188,2.7064773490924343E-13,1.0,4.2988342052741046E-11
-861489795086348387,0.4065515100955963,3.412250201156552E-27,0.9409516453742981,NaN,1.0,NaN
-861489329086958336,0.17769134044647217,NaN,0.7221164703369141,3.6142697992444517E-13,1.0,5.5997258913143E-11
-861489200086160925,0.5101115703582764,NaN,0.6914246082305908,NaN,1.0,7.957855208129416E-11
-861488711086164357,0.4645157754421234,NaN,0.7208917140960693,1.5723496948893967E-9,1.0,NaN
-861487221086375777,0.3023957908153534,NaN,0.9870204329490662,3.5239911303722865E-14,1.0,NaN
-861486926086475871,0.23340260982513428,1.4813408558019966E-24,0.7030858397483826,4.970334040177438E-13,1.0,NaN
-861486845086547586,0.25643274188041687,6.516155341947396E-20,0.6082344055175781,4.602481729065744E-10,1.0,1.9539236895127488E-9
-861485517086693868,1.0524406433105469,NaN,0.6521736979484558,1.5933443258363267E-13,1.0,NaN
-861485299086750252,0.2653868496417999,NaN,0.5105661749839783,NaN,1.0,3.2153205879043023E-12
-861484862086188813,1.0580787658691406,NaN,0.650627851486206,5.3230051799632594E-17,1.0,9.858052666787286E-17
-861484687086030106,0.2528384327888489,NaN,0.8773740530014038,1.3066109338152193E-13,1.0,6.3106742054230835E-12
-861483877086515765,0.9475928544998169,2.8064990142863297E-22,0.5194281339645386,NaN,1.0,NaN
-861483633086243193,0.2600043714046478,NaN,0.9789369702339172,3.071665838350057E-11,1.0,2.1614994516472308E-10
-861483328086461177,0.3979479670524597,5.194558436539571E-22,0.5533044934272766,NaN,1.0,3.4577868346374885E-10
-861482747085879130,0.23776957392692566,NaN,0.8519704341888428,NaN,1.0,3.3197427029563187E-9
-861482715086762263,0.36625736951828003,NaN,0.791551947593689,4.880611431494486E-13,1.0,8.825649412680381E-12
-861482666086170114,0.305225670337677,NaN,0.9551987051963806,NaN,1.0,2.6046314410832494E-11
-861481653086891031,0.5269100666046143,3.0720973098288244E-30,0.6577072143554688,6.639780017734072E-18,1.0,NaN
-861481592086529910,0.41956257820129395,2.1141044381768125E-22,0.409008264541626,NaN,1.0,6.613209979633439E-11
-861481367086620562,0.28836604952812195,NaN,0.7185259461402893,NaN,1.0,NaN
-861481085086040313,0.2758100628852844,NaN,0.9431201815605164,2.192062720576815E-13,1.0,NaN
-861480987085965027,0.2508442997932434,3.0090017543582256E-22,0.6774647831916809,NaN,1.0,3.174341900447075E-9
-861480269086755676,1.089697241783142,1.5300662538497547E-17,0.28342968225479126,NaN,1.0,2.3272697102783013E-9
-861479482086070620,0.3056355118751526,NaN,0.9179285168647766,NaN,1.0,NaN
-861478012087018580,0.7518343925476074,2.530294223914485E-28,0.8515799045562744,NaN,1.0,1.0082514412576205E-16
-861477391086844250,0.41494303941726685,2.6795229797253855E-28,0.571293830871582,5.718402144975037E-17,1.0,NaN
-861476445087076716,0.2870933711528778,NaN,0.8668894171714783,1.187054232687501E-9,1.0,6.935790164419586E-9
-861475892086260757,0.327767938375473,NaN,0.6873524188995361,2.1023833340905185E-8,1.0,2.0146766033235508E-8
-861475173086939708,0.189740851521492,NaN,0.651172935962677,1.8118176230152994E-12,1.0,4.120777070265591E-12
-861475133086818728,0.2725887894630432,9.870490179034557E-22,0.7113913297653198,NaN,1.0,NaN
-861474846087084309,0.26050320267677307,0.0,0.7386683225631714,0.0,1.0,0.0
-861474569086754548,0.4312121868133545,2.8548777710107446E-22,0.8150647878646851,6.511185362580163E-13,1.0,7.951190920951756E-12
-861474147086986772,0.30014684796333313,9.219922570742378E-28,0.8896710872650146,9.077730446271958E-16,1.0,NaN
-861473720087065618,0.5618518590927124,NaN,0.8513749241828918,2.806671735300359E-11,1.0,NaN
-861473081086813912,0.2988530993461609,NaN,0.8344932198524475,2.5053426672659584E-13,1.0,NaN
-861472357086751025,0.29152172803878784,1.1475269928386423E-26,0.4948444366455078,9.077936698794614E-15,1.0,NaN
-861471945086763751,0.9417240023612976,8.210651305751039E-21,0.4115229845046997,NaN,1.0,3.344671484217798E-10
-861471830085740126,0.199675053358078,0.0,0.5542105436325073,0.0,1.0,0.0
-861470912087081235,0.19609001278877258,NaN,0.8545031547546387,1.939634675096613E-9,1.0,NaN
-861470867086545871,0.3224138021469116,1.9548720492195095E-26,0.6461275815963745,1.540902008854289E-15,1.0,7.725629116745337E-15
-861469820086518428,1.7974433898925781,NaN,0.7341207265853882,1.6363009580112886E-14,1.0,2.364452210412704E-11
-861469342086663162,0.2090214043855667,NaN,0.8890840411186218,1.29195292701903E-13,1.0,8.206405510691184E-8
-861469037086746883,0.7109516263008118,8.105537912536844E-24,0.25213009119033813,1.0697732033982527E-13,1.0,NaN
-861468456086955108,0.2833896279335022,1.4078123732822718E-23,0.9507656097412109,NaN,1.0,1.693215012643634E-11
-861468245085729863,0.7611131072044373,NaN,0.2893480658531189,NaN,1.0,NaN
-861468190086932009,0.2977709472179413,3.130225631010304E-23,0.970893383026123,1.697012647593199E-12,1.0,NaN
-861468112086130053,0.3393394351005554,NaN,0.5462534427642822,1.4423542782433427E-15,1.0,NaN
-861468026086760639,0.460578978061676,4.2108842918063955E-23,0.7971046566963196,NaN,1.0,NaN
-861467500086622620,0.33302587270736694,NaN,0.3990115523338318,NaN,1.0,4.9658827803956626E-14
-861467440086161571,0.29900461435317993,6.5108173328786655E-24,0.9243570566177368,NaN,1.0,7.063676726870582E-11
-861467332086470683,0.3064429461956024,NaN,0.4196414351463318,1.0441612852130078E-12,1.0,NaN
